Id,area,CR_Emergence,EVI_Emergence,CR_Harvest,EVI_Harvest,area_hv,,,Transplant,Harvest
1,NW,73,74,138,129,NW,,DOY,70,131
2,NW,76,76,134,132,NW,,Date,43900,43961
3,NW,74,69,137,131,NW,,,,
4,NW,89,80,142,136,NW,,,,
5,NW,74,73,138,130,NW,,,,
6,NW,73,68,133,130,NW,,,,
7,NW,77,71,139,137,NW,,,,
8,NW,85,76,149,142,NW,,,,
9,NW,76,74,139,131,NW,,,,
10,NW,75,71,138,133,NW,,,,
11,NW,76,74,140,135,NW,,,,
12,NW,76,72,138,130,NW,,,,
13,NW,72,67,134,132,NW,,,,
14,NW,73,69,136,132,NW,,,,
15,NW,74,71,138,133,NW,,,,
16,NW,77,77,140,136,NW,,,,
17,NW,78,71,139,133,NW,,,,
18,NW,78,66,137,133,NW,,,,
19,NW,76,69,138,132,NW,,,,
20,NW,80,70,138,132,NW,,,,
22,SE,59,69,148,142,SE,,,,
23,SE,60,69,119,120,SE,,,,
24,SE,61,58,118,118,SE,,,,
25,SE,77,62,120,121,SE,,,,
26,SE,67,53,120,113,SE,,,,
27,SE,72,58,130,111,SE,,,,
28,SE,71,58,120,115,SE,,,,
29,SE,72,62,118,116,SE,,,,
30,SE,75,66,123,113,SE,,,,
31,SE,71,59,121,124,SE,,,,
32,SE,60,61,131,124,SE,,,,
33,SE,76,72,143,132,SW,,,,
34,SE,73,68,143,132,SW,,,,
35,SE,63,55,136,128,SW,,,,
36,SE,75,55,145,132,SW,,,,
37,SE,74,52,140,129,SW,,,,
38,SE,75,53,145,132,SW,,,,
39,SE,63,53,141,128,SW,,,,
40,SE,76,58,135,122,SW,,,,
41,SW,78,71,134,126,SW,,,,
42,SW,73,76,139,125,SW,,,,
43,SW,78,70,141,126,SW,,,,
44,SW,76,71,144,126,SW,,,,
45,SW,82,73,146,124,SW,,,,
46,SW,73,67,140,126,SW,,,,
47,SW,77,64,140,127,SW,,,,
48,SW,76,68,142,120,SW,,,,
49,SW,81,70,140,121,SW,,,,
50,SW,74,67,142,125,SW,,,,
51,SW,70,67,131,125,SW,,,,
52,SW,78,70,136,120,SW,,,,
53,SW,75,69,142,132,SC,,,,
54,SW,75,69,141,124,SC,,,,
55,SW,80,69,141,121,SC,,,,
56,SW,77,72,142,120,SC,,,,
57,SW,75,71,144,125,SC,,,,
58,SW,80,70,143,141,SC,,,,
59,SW,70,74,142,132,SC,,,,
60,SW,68,66,143,133,SC,,,,
61,SC,77,73,140,127,SC,,,,
62,SC,70,70,137,120,SC,,,,
63,SC,71,69,140,130,SC,,,,
64,SC,71,69,140,132,SC,,,,
65,SC,76,70,137,135,SC,,,,
66,SC,73,69,138,131,SC,,,,
67,SC,77,71,139,130,SC,,,,
68,SC,75,70,137,134,SC,,,,
69,SC,76,70,138,125,SC,,,,
70,SC,73,69,135,127,SC,,,,
71,SC,74,70,128,129,SC,,,,
72,SC,75,72,129,128,SC,,,,
73,SC,79,74,119,113,NE,,,,
74,SC,77,71,117,118,NE,,,,
75,SC,79,70,121,117,NE,,,,
76,SC,79,72,138,112,NE,,,,
77,SC,64,66,117,104,NE,,,,
78,SC,76,75,118,97,NE,,,,
79,SC,65,72,123,110,NE,,,,
80,SC,58,58,131,121,NE,,,,
81,NE,68,58,133,108,NE,,,,
82,NE,59,58,137,134,NE,,,,
83,NE,53,58,123,107,NE,,,,
84,NE,51,58,132,108,NE,,,,
85,NE,59,58,131,108,NE,,,,
86,NE,57,58,130,107,NE,,,,
87,NE,62,64,140,104,NE,,,,
88,NE,58,58,122,104,NE,,,,
89,NE,59,53,124,122,NE,,,,
90,NE,66,59,132,127,NE,,,,
91,NE,58,58,142,138,NE,,,,
92,NE,59,58,145,136,NE,,,,
93,NE,62,58,147,144,UN,,,,
94,NE,59,58,156,134,UN,,,,
95,NE,53,43,155,141,UN,,,,
96,NE,61,49,155,132,UN,,,,
97,NE,62,54,120,139,UN,,,,
98,NE,61,52,157,135,UN,,,,
99,NE,55,55,156,138,UN,,,,
100,NE,58,58,153,133,UN,,,,
101,UN,58,61,158,138,UN,,,,
102,UN,85,76,154,135,UN,,,,
103,UN,85,78,152,140,UN,,,,
104,UN,84,84,154,141,UN,,,,
105,UN,58,62,147,143,UN,,,,
106,UN,85,76,145,135,UN,,,,
107,UN,86,79,145,142,UN,,,,
108,UN,87,84,151,135,UN,,,,
109,UN,83,73,145,125,UN,,,,
110,UN,84,75,127,111,UN,,,,
111,UN,85,77,141,128,UN,,,,
112,UN,85,83,146,145,UN,,,,
113,UN,82,69,141,142,WZ,,,,
114,UN,85,77,144,129,WZ,,,,
115,UN,84,62,136,125,WZ,,,,
116,UN,82,61,143,142,WZ,,,,
117,UN,58,58,143,133,WZ,,,,
118,UN,58,63,139,131,WZ,,,,
119,UN,86,70,145,140,WZ,,,,
120,UN,85,83,137,127,WZ,,,,
121,WZ,73,65,136,130,WZ,,,,
122,WZ,78,69,134,124,WZ,,,,
123,WZ,78,68,132,123,WZ,,,,
124,WZ,85,78,148,132,WZ,,,,
125,WZ,81,75,145,138,WZ,,,,
126,WZ,81,73,154,156,WZ,,,,
127,WZ,81,81,133,127,WZ,,,,
128,WZ,79,70,137,126,WZ,,,,
129,WZ,75,67,136,136,WZ,,,,
130,WZ,75,66,130,125,WZ,,,,
131,WZ,68,65,135,128,WZ,,,,
132,WZ,84,74,137,130,WZ,,,,
133,WZ,78,67,,,,,,,
134,WZ,83,76,,,,,,,
135,WZ,86,78,,,,,,,
136,WZ,79,73,,,,,,,
137,WZ,75,78,,,,,,,
138,WZ,84,79,,,,,,,
139,WZ,77,80,,,,,,,
140,WZ,78,77,,,,,,,
