State,EVI,fPAR,FVC,LAI,NDVI,RVI
Irrigated,0.002767631,0,0,0,0.004375843,0.1
Irrigated,0.033383135,0.083789718,0.032196685,0.006702145,0.077973374,0.1
Irrigated,0.076973076,0.131993981,0.061625515,0.041648365,0.142234825,0.1
Irrigated,0.251177984,0.321069234,0.207418123,0.170914787,0.34721662,0.4
Irrigated,0.302699368,0.342916558,0.249145499,0.179828833,0.345561279,0.5
Irrigated,0.578156089,0.677821207,0.562604265,0.336954286,0.44599194,0.8
Irrigated,0.761350632,0.90937635,0.855202795,0.736081056,0.718464761,0.8
Irrigated,1,1,1,1,1,0.8
Irrigated,0.438871204,0.501299232,0.448353378,0.236204225,0.431257117,0.9
Irrigated,0.253196974,0.261680535,0.185770299,0.217312191,0.232604154,0.8
Irrigated,0.203389394,0.200773233,0.138629667,0.240017144,0.182881578,0.8
Irrigated,0.157226371,0.229927196,0.127728447,0.173972971,0.140474077,0.6
Irrigated,0.143717572,0.21023662,0.106123532,0.160113109,0.126353502,0.5
Rainfed,0,0.015587035,0.005734776,0.011847548,0,0.154073239
Rainfed,0.029251496,0.077482192,0.029713185,0.00163387,0.073602308,0.062694512
Rainfed,0.083437381,0.128971765,0.057822734,0.040290484,0.147502747,0.055563786
Rainfed,0.263219999,0.320828023,0.21022199,0.17055509,0.363828308,0.497492224
Rainfed,0.316596087,0.333974976,0.246342901,0.176347029,0.36670524,0.669888075
Rainfed,0.540667805,0.627191445,0.520521727,0.305274085,0.418828702,0.841300637
Rainfed,0.703068953,0.851703487,0.778359142,0.642468319,0.681545962,0.990322053
Rainfed,0.911459654,0.948834839,0.937792697,0.88886997,0.95595421,0.922129199
Rainfed,0.413163839,0.479631505,0.421860524,0.229159408,0.42211613,0.869075047
Rainfed,0.231645623,0.255059212,0.175946004,0.181887906,0.223782514,0.817804197
Rainfed,0.197508305,0.198125214,0.147966857,0.172192345,0.190453655,0.761296263
Rainfed,0.135882539,0.225611996,0.127728447,0.159611736,0.130738316,0.672717906
Rainfed,0.13217942,0.217177778,0.121060602,0.154549615,0.11936829,0.688301596
